id,created_at,text
740712607682678784,2016-06-09 01:10:22,'Silicon Valley' season 3 spoilers: Erlich's fate revealed in episode 8 https://t.co/K8qKAm9gA5
740712302563860480,2016-06-09 01:09:09,"10 TV Shows We're Watching Right Now 
https://t.co/A2q3nTpW0a"
739337110264549376,2016-06-05 06:04:37,"'Silicon Valley' season 3, episode 7 preview: Big Head moves on; also, a beta
https://t.co/L0u0KtD6Ya https://t.co/RPNZhpjQbS"
